BAST	fHbp_peptide	NHBA_peptide	NadA_peptide	PorA_VR1	PorA_VR2	MenDeVAR_Bexsero_reactivity	MenDeVAR_Trumenba_reactivity
159	33	502	3	7	14	cross-reactive	insufficient data
160	283	3	100	7-2	16	insufficient data	insufficient data
161	1	3	1	7	16-51	exact match	cross-reactive
162	4	20	8	7-2	13-1	exact match	cross-reactive
163	24	33	110	7	16	insufficient data	insufficient data
164	21	18	8	21	16	exact match	cross-reactive
165	13	3	1	19-27	15	insufficient data	cross-reactive
166	1	3	110	5-2	10	exact match	cross-reactive
167	201	29	3	5	2	cross-reactive	insufficient data
168	13	597	8	5	2	exact match	cross-reactive
169	118	20	2	21	16	insufficient data	insufficient data
170	1	5	110	7	16-33	exact match	cross-reactive
171	118	20	2	7-2	4	exact match	insufficient data
172	128	20	3	5-1	10-8	cross-reactive	insufficient data
173	16	20	8	21	16	exact match	cross-reactive
174	14	30	21	22-1	14-1	cross-reactive	cross-reactive
175	740	20	2	5	2	insufficient data	insufficient data
176	22	29	26	5	2	insufficient data	insufficient data
177	21	6	131	7-2	13-15	insufficient data	cross-reactive
178	596	120	1	19	15	insufficient data	insufficient data
179	22	29	0	5	2	insufficient data	insufficient data
180	1	5	1	7	16-33	exact match	cross-reactive
181	1	3	110	7-2	16-12	exact match	cross-reactive
182	16	20	2	5-1	10-4	insufficient data	cross-reactive
183	277	29	3	5	2	cross-reactive	insufficient data
184	16	20	7	18-1	3	insufficient data	cross-reactive
185	224	3	100	7-2	16-26	insufficient data	insufficient data
186	19	3	100	7	16-26	insufficient data	cross-reactive
187	1	5	110	7	16-20	exact match	cross-reactive
188	289	20	2	5	2	insufficient data	insufficient data
189	1	3	110	7	16-51	exact match	cross-reactive
190	66	9	8	5-1	10-4	exact match	insufficient data
191	22	29	3	5-1	10-4	cross-reactive	insufficient data
192	476	3	100	7-2	16	insufficient data	insufficient data
193	559	237	110	7	16	insufficient data	insufficient data
194	101	237	1	7	16	insufficient data	insufficient data
195	21	3	100	7	16	insufficient data	cross-reactive
196	45	18	122	22	14	insufficient data	exact match
197	1	3	1	7-2	3	exact match	cross-reactive
198	13	101	8	7	16-48	exact match	cross-reactive
199	224	3	100	7	16-26	insufficient data	insufficient data
200	1	3	8	7	16	exact match	cross-reactive
201	5	348	8	20	9	exact match	insufficient data
202	19	29	3	5	2	cross-reactive	cross-reactive
203	78	20	2	5	2	insufficient data	insufficient data
204	94	115	122	22	14	insufficient data	insufficient data
205	160	533	110	7	16	insufficient data	insufficient data
206	23	20	3	5-1	10-8	cross-reactive	cross-reactive
207	101	511	1	7	16	insufficient data	insufficient data
208	1	557	110	7	16	exact match	cross-reactive
209	101	511	110	7	16	insufficient data	insufficient data
210	160	129	21	19	15	insufficient data	insufficient data
211	13	3	110	19	15	insufficient data	cross-reactive
212	36	27	8	20	9	exact match	insufficient data
213	16	29	3	5	2	cross-reactive	cross-reactive
214	24	33	1	7	16	insufficient data	insufficient data
215	1	505	1	7-2	3	exact match	cross-reactive
216	1	20	2	21	16	exact match	cross-reactive
217	1	3	110	7-2	3	exact match	cross-reactive
218	316	3	100	7	16-26	insufficient data	insufficient data
219	13	17	0	22	9	insufficient data	cross-reactive
220	4	2	0	7-2	4	exact match	cross-reactive
221	25	7	0	5-1	10-1	insufficient data	cross-reactive
222	15	21	0	19-1	15-11	cross-reactive	cross-reactive
223	14	2	0	7-2	4	exact match	cross-reactive
224	45	18	0	22	14	none	exact match
225	25	7	0	5-1	10-4	insufficient data	cross-reactive
226	4	2	0	12-1	9	exact match	cross-reactive
227	25	8	0	5-1	2-2	insufficient data	cross-reactive
228	25	7	0	5-2	10-1	insufficient data	cross-reactive
229	4	2	0	18-1	14	exact match	cross-reactive
230	47	118	0	19-2	13-1	insufficient data	cross-reactive
231	4	2	0	22	14	exact match	cross-reactive
232	4	2	0	12-1	16	exact match	cross-reactive
233	25	7	0	5-1	10-10	insufficient data	cross-reactive
234	25	6	0	5-1	2-2	none	cross-reactive
235	13	20	0	5-1	10-8	insufficient data	cross-reactive
236	4	190	0	7-2	4	exact match	cross-reactive
237	13	24	0	5	2	insufficient data	cross-reactive
238	15	21	0	22	14	cross-reactive	cross-reactive
239	4	2	0	18-1	3	exact match	cross-reactive
240	4	2	0	7-1	1	exact match	cross-reactive
241	19	31	0	17-1	23	none	cross-reactive
242	306	20	0	5-1	10-8	insufficient data	insufficient data
243	84	47	0	5-1	10-1	insufficient data	insufficient data
244	21	20	0	22	14	insufficient data	cross-reactive
245	45	29	0	22	14	insufficient data	exact match
246	21	20	0	7-2	4	exact match	cross-reactive
247	37	6	0	22	14	cross-reactive	insufficient data
248	14	2	0	7-2	13-2	exact match	cross-reactive
249	15	21	0	17-1	23	cross-reactive	cross-reactive
250	143	21	0	17	16-3	insufficient data	insufficient data
251	15	21	0	19-1	3-5	cross-reactive	cross-reactive
252	15	21	0	5-1	2-2	cross-reactive	cross-reactive
253	24	10	0	17	16-3	cross-reactive	insufficient data
254	15	17	0	22	9	cross-reactive	cross-reactive
255	19	112	0	18-7	9	none	cross-reactive
256	15	21	0	22	9	cross-reactive	cross-reactive
257	16	21	0	22-1	14	insufficient data	cross-reactive
258	31	18	0	22	14	none	insufficient data
259	4	18	0	22	14	cross-reactive	cross-reactive
260	86	2	0	7-2	4	exact match	insufficient data
261	24	9	0	5-1	10-4	none	insufficient data
262	13	18	0	22	14	insufficient data	cross-reactive
263	4	2	0	5-2	10-4	exact match	cross-reactive
264	185	18	0	22	14	insufficient data	insufficient data
265	16	20	0	5-1	10-4	insufficient data	cross-reactive
266	4	25	0	7-2	4	exact match	cross-reactive
267	19	17	0	22	9	none	cross-reactive
268	15	21	0	19	13-1	cross-reactive	cross-reactive
269	4	558	0	21	16	cross-reactive	cross-reactive
270	19	9	0	5-8	10-4	none	cross-reactive
271	13	114	0	21-7	16	insufficient data	cross-reactive
272	14	552	0	7-2	4	exact match	cross-reactive
273	14	17	0	22	9	cross-reactive	cross-reactive
274	25	20	0	5-1	2-2	insufficient data	cross-reactive
275	104	8	0	5-2	10-2	insufficient data	insufficient data
276	187	18	0	22	14	insufficient data	cross-reactive
277	15	21	0	19-1	26	cross-reactive	cross-reactive
278	14	2	0	22	14-6	exact match	cross-reactive
279	16	21	0	21	16	insufficient data	cross-reactive
280	608	2	0	18-1	3	exact match	insufficient data
281	293	7	0	5-2	10-1	insufficient data	insufficient data
282	47	118	0	19-2	13	insufficient data	cross-reactive
283	291	21	0	7-2	13-1	insufficient data	insufficient data
284	19	2	0	7-2	4	exact match	cross-reactive
285	506	21	0	18-1	1	insufficient data	insufficient data
286	108	20	0	22	14	insufficient data	insufficient data
287	9	2	0	18-4	25	exact match	insufficient data
288	19	24	0	18-1	3	insufficient data	cross-reactive
289	14	47	0	7-2	4	exact match	cross-reactive
290	95	29	0	21-2	28	insufficient data	insufficient data
291	13	17	0	21	9	insufficient data	cross-reactive
292	23	9	0	5-1	10-1	insufficient data	cross-reactive
293	4	29	0	22-1	14	cross-reactive	cross-reactive
294	302	31	0	19	15	insufficient data	insufficient data
295	4	17	0	22	9	cross-reactive	cross-reactive
296	13	118	0	19-2	13-1	insufficient data	cross-reactive
297	599	21	0	22-1	14	insufficient data	insufficient data
298	14	2	0	7-2	13-9	exact match	cross-reactive
299	4	58	0	7-2	4	exact match	cross-reactive
300	16	20	0	18-7	9-5	insufficient data	cross-reactive
301	16	20	0	18-1	16	insufficient data	cross-reactive
302	4	2	0	7-2	4-15	exact match	cross-reactive
303	1	18	0	22	14	exact match	cross-reactive
304	59	18	0	22	14	none	insufficient data
305	19	17	0	19	15	none	cross-reactive
306	45	18	0	19	15	none	exact match
307	108	118	0	19-2	13-1	insufficient data	insufficient data
308	4	31	0	7-2	4	exact match	cross-reactive
309	1	3	0	12-6	13-4	exact match	cross-reactive
310	15	18	0	22	14	cross-reactive	cross-reactive
311	25	13	0	18-1	1	insufficient data	cross-reactive
312	4	254	0	22	14	cross-reactive	cross-reactive
313	2	21	0	19-5	15	insufficient data	insufficient data
314	8	31	0	17-1	23	insufficient data	insufficient data
315	19	2	0	18-1	34	exact match	cross-reactive
316	4	2	0	19	15	exact match	cross-reactive
317	506	21	0	21	16	insufficient data	insufficient data
318	13	25	0	21	16	insufficient data	cross-reactive
319	15	21	0	19	13	cross-reactive	cross-reactive
320	4	29	0	19-3	15	cross-reactive	cross-reactive
321	14	173	0	7-2	4	exact match	cross-reactive
322	14	7	0	5-1	10-4	cross-reactive	cross-reactive
323	4	2	0	17-1	23-2	exact match	cross-reactive
324	29	18	0	22	14	none	insufficient data
325	1	20	0	22	14	exact match	cross-reactive
326	309	20	0	22	14	insufficient data	insufficient data
327	19	24	0	22	14-6	insufficient data	cross-reactive
328	187	10	0	22	14	cross-reactive	cross-reactive
329	4	567	0	7-2	4	exact match	cross-reactive
330	138	20	0	18-1	3	insufficient data	insufficient data
331	4	558	0	5	2	cross-reactive	cross-reactive
332	595	2	0	18-1	30-6	exact match	insufficient data
333	45	18	0	17-1	23-7	none	exact match
334	37	6	0	7-2	13-1	cross-reactive	insufficient data
335	30	18	0	22-28	14	none	cross-reactive
336	450	18	0	22	14	insufficient data	insufficient data
337	4	678	0	7	30	cross-reactive	cross-reactive
338	47	118	0	7-2	30-2	insufficient data	cross-reactive
339	25	596	0	7-2	4	exact match	cross-reactive
340	25	7	0	7-2	30-4	insufficient data	cross-reactive
341	37	6	0	7-1	4-1	cross-reactive	insufficient data
342	24	10	0	17	16-93	cross-reactive	insufficient data
343	19	31	0	17-1	23-2	none	cross-reactive
344	648	20	0	22	14	insufficient data	insufficient data
345	4	2	0	18-1	30	exact match	cross-reactive
346	297	18	0	22	14	insufficient data	insufficient data
347	4	2	0	5-2	10-2	exact match	cross-reactive
348	15	20	0	18-1	3	cross-reactive	cross-reactive
349	16	20	0	18-1	3	insufficient data	cross-reactive
350	584	24	0	5-2	10-1	insufficient data	insufficient data
351	621	18	0	17-1	23	insufficient data	insufficient data
352	110	21	0	12-1	13-1	cross-reactive	insufficient data
353	25	7	0	5-2	10-12	insufficient data	cross-reactive
354	4	562	0	12-1	16	cross-reactive	cross-reactive
355	421	6	0	22	26	insufficient data	insufficient data
356	275	18	0	22	14	insufficient data	insufficient data
357	106	7	0	5-1	10-1	insufficient data	insufficient data
358	15	21	0	19-1	15	cross-reactive	cross-reactive
359	4	2	0	21-7	16	exact match	cross-reactive
360	15	21	0	12-1	13-1	cross-reactive	cross-reactive
361	14	160	0	7-2	4	exact match	cross-reactive
362	25	13	0	18-1	3	insufficient data	cross-reactive
363	45	18	0	22	14-14	none	exact match
364	87	667	0	19	15-1	insufficient data	cross-reactive
365	4	672	0	7-2	4	exact match	cross-reactive
366	13	53	0	12-1	13-1	insufficient data	cross-reactive
367	1	20	1	18-1	16-2	exact match	cross-reactive
368	25	662	0	5-1	10-12	insufficient data	cross-reactive
369	318	18	0	22	14	insufficient data	insufficient data
370	4	408	0	7-2	4	exact match	cross-reactive
371	25	666	0	21	16	insufficient data	cross-reactive
372	16	18	0	7-1	1	none	cross-reactive
373	13	114	0	22	14-6	insufficient data	cross-reactive
374	700	20	0	22	14	insufficient data	insufficient data
375	19	47	0	22	14-6	none	cross-reactive
376	167	670	0	7	30	insufficient data	insufficient data
377	119	21	0	19	15	insufficient data	insufficient data
378	16	31	0	17-1	23-2	none	cross-reactive
379	31	21	0	19-1	15-11	insufficient data	insufficient data
380	19	1	0	18-3	1	cross-reactive	cross-reactive
381	4	607	0	7-2	4	exact match	cross-reactive
382	19	17	0	22	14	none	cross-reactive
383	294	18	0	22	14	insufficient data	insufficient data
384	23	9	0	5-1	10-4	insufficient data	cross-reactive
385	19	18	0	5-1	10-1	none	cross-reactive
386	84	20	0	18-1	3	insufficient data	insufficient data
387	25	21	0	5-1	10-1	insufficient data	cross-reactive
388	647	42	0	21-2	28	insufficient data	insufficient data
389	4	2	0	5-1	10-4	exact match	cross-reactive
390	541	63	0	5-1	2-2	insufficient data	insufficient data
391	1	3	0	19	15	exact match	cross-reactive
392	0	21	0	18-1	3	insufficient data	none
393	215	17	0	19	15	cross-reactive	insufficient data
394	4	2	0	7-2	15	exact match	cross-reactive
395	276	18	0	22	14	insufficient data	cross-reactive
396	683	31	0	17-1	23	insufficient data	insufficient data
397	118	563	0	21	16	insufficient data	insufficient data
398	66	673	0	22	14-10	insufficient data	insufficient data
399	4	31	0	5-1	10-7	cross-reactive	cross-reactive
400	494	18	0	22	14	insufficient data	insufficient data
401	14	570	0	7-2	4	exact match	cross-reactive
402	647	42	0	18-1	34	insufficient data	insufficient data
403	364	29	0	22	14	insufficient data	insufficient data
404	256	556	0	7-2	13	insufficient data	insufficient data
405	15	21	0	18-1	3	cross-reactive	cross-reactive
406	47	197	3	7-1	4-1	cross-reactive	cross-reactive
407	187	118	0	19-2	13-1	insufficient data	cross-reactive
408	4	2	0	19	16	exact match	cross-reactive
409	603	18	0	22	15	insufficient data	insufficient data
410	19	9	0	5-1	10-8	none	cross-reactive
411	14	214	0	7-2	4	exact match	cross-reactive
412	15	21	0	12-1	13-7	cross-reactive	cross-reactive
413	13	114	0	21-7	16-134	insufficient data	cross-reactive
414	16	20	0	5-1	10-1	insufficient data	cross-reactive
415	147	10	0	17	16-3	cross-reactive	insufficient data
416	13	559	0	21	16	insufficient data	cross-reactive
417	628	18	0	22	14	insufficient data	insufficient data
418	45	29	0	17	4	exact match	exact match
419	170	20	0	5-1	2-2	insufficient data	insufficient data
420	651	2	0	7-2	4	exact match	insufficient data
421	19	31	0	5-1	10-4	none	cross-reactive
422	705	20	0	22	14	insufficient data	insufficient data
423	15	21	0	7-11	30-8	cross-reactive	cross-reactive
424	603	18	0	22	14	insufficient data	insufficient data
425	25	17	0	21	16	none	cross-reactive
426	494	129	0	7-1	1	insufficient data	insufficient data
427	25	7	0	5	2	insufficient data	cross-reactive
428	7	47	0	5-1	10-1	insufficient data	insufficient data
429	16	20	0	5	2	insufficient data	cross-reactive
430	19	18	0	22	1	none	cross-reactive
431	152	17	0	22	9	insufficient data	insufficient data
432	15	20	0	5-1	2-2	cross-reactive	cross-reactive
433	16	590	0	5-1	10-4	insufficient data	cross-reactive
434	141	18	0	5-35	10-4	insufficient data	insufficient data
435	13	114	0	21-7	10-26	insufficient data	cross-reactive
436	15	21	0	7-1	4-1	cross-reactive	cross-reactive
437	652	2	0	7-2	4	exact match	insufficient data
438	4	2	0	18-4	25	exact match	cross-reactive
439	0	21	0	21	16	insufficient data	none
440	16	6	0	18-1	3	none	cross-reactive
441	19	18	0	22	9	none	cross-reactive
442	45	676	0	17-1	23	insufficient data	exact match
443	15	21	0	19-1	30-1	cross-reactive	cross-reactive
444	25	31	0	5-1	10-1	none	cross-reactive
445	24	29	0	21-2	28	insufficient data	insufficient data
446	31	17	0	22	9	none	insufficient data
447	37	6	0	22	9	cross-reactive	insufficient data
448	4	7	0	18-1	3	cross-reactive	cross-reactive
449	14	18	0	5-1	2-2	cross-reactive	cross-reactive
450	13	114	0	5-1	10-4	insufficient data	cross-reactive
451	14	2	0	7-4	1	exact match	cross-reactive
452	59	17	0	22	9	none	insufficient data
453	702	21	0	5-1	2-2	insufficient data	insufficient data
454	622	21	0	18-1	3	insufficient data	insufficient data
455	15	21	0	7-2	13-1	cross-reactive	cross-reactive
456	14	598	0	7-2	4	exact match	cross-reactive
457	15	21	0	22	3	cross-reactive	cross-reactive
458	19	220	0	22	9	insufficient data	cross-reactive
459	47	197	0	19	16	none	cross-reactive
460	87	17	0	22	9	insufficient data	cross-reactive
461	95	9	0	5-1	10-4	insufficient data	insufficient data
462	16	129	0	7-1	1	insufficient data	cross-reactive
463	19	591	0	22	14-17	insufficient data	cross-reactive
464	19	192	0	7-2	4	exact match	cross-reactive
465	701	20	0	7-12	14	insufficient data	insufficient data
466	16	592	0	18-1	3	insufficient data	cross-reactive
467	13	118	0	19-2	13-55	insufficient data	cross-reactive
468	600	21	0	19-1	15-11	insufficient data	insufficient data
469	23	2	0	7-2	4	exact match	cross-reactive
470	19	130	0	7	30	insufficient data	cross-reactive
471	110	18	0	22	14	cross-reactive	insufficient data
472	296	81	0	21	16	insufficient data	insufficient data
473	13	677	0	22	9	insufficient data	cross-reactive
474	47	594	0	19-2	13-1	insufficient data	cross-reactive
475	89	29	0	7-2	14	insufficient data	insufficient data
476	37	6	0	5-1	2-2	cross-reactive	insufficient data
477	37	6	0	21	16	cross-reactive	insufficient data
478	31	564	0	22	14	insufficient data	insufficient data
479	25	7	0	7-2	13-1	insufficient data	cross-reactive
480	15	21	0	7	30	cross-reactive	cross-reactive
481	13	114	0	5-2	10-1	insufficient data	cross-reactive
482	27	664	0	19-3	15	insufficient data	insufficient data
483	106	122	0	12-1	13-1	insufficient data	insufficient data
484	628	9	0	5-1	10-4	insufficient data	insufficient data
485	19	21	0	19-1	15-11	insufficient data	cross-reactive
486	327	471	0	7-2	4	exact match	insufficient data
487	4	553	0	7-2	4	exact match	cross-reactive
488	37	64	0	5-2	10	cross-reactive	insufficient data
489	94	554	0	12-17	4-1	insufficient data	insufficient data
490	19	145	0	17-1	23	insufficient data	cross-reactive
491	200	255	0	17-1	23	insufficient data	insufficient data
492	16	593	0	18-1	30-2	insufficient data	cross-reactive
493	25	24	0	5-1	10-4	insufficient data	cross-reactive
494	100	20	0	5-1	10-8	insufficient data	insufficient data
495	607	6	0	19-3	15	insufficient data	insufficient data
496	702	2	0	18	25	exact match	insufficient data
497	4	565	0	7-2	4	exact match	cross-reactive
498	160	255	0	19	15-21	insufficient data	insufficient data
499	25	679	0	5-1	10-1	insufficient data	cross-reactive
500	609	89	0	18-1	3	insufficient data	insufficient data
501	15	561	0	19-1	15-11	cross-reactive	cross-reactive
502	203	20	0	17	9	insufficient data	insufficient data
503	4	568	0	7-2	4	exact match	cross-reactive
504	45	18	0	22	16-59	none	exact match
505	19	2	0	21	16	exact match	cross-reactive
506	14	668	0	7-2	4	exact match	cross-reactive
507	47	197	0	7	30	none	cross-reactive
508	4	228	0	22	14-6	cross-reactive	cross-reactive
509	357	18	0	22	14	insufficient data	insufficient data
510	15	21	0	7-1	1	cross-reactive	cross-reactive
511	30	1	0	22-1	14	cross-reactive	cross-reactive
512	12	18	0	22	14	cross-reactive	insufficient data
513	14	2	0	18-1	3	exact match	cross-reactive
514	19	2	0	19	15-1	exact match	cross-reactive
515	704	2	0	18-1	3	exact match	insufficient data
516	19	566	0	18-1	3	insufficient data	cross-reactive
517	185	29	0	22	14	insufficient data	insufficient data
518	494	29	0	22	14	insufficient data	insufficient data
519	539	199	0	22-28	9	insufficient data	insufficient data
520	47	118	0	19-2	13-2	insufficient data	cross-reactive
521	78	20	0	5-1	10-8	insufficient data	insufficient data
522	95	20	0	5-1	10-8	insufficient data	insufficient data
523	24	21	0	7-2	13	insufficient data	insufficient data
524	13	17	0	22	9-11	insufficient data	cross-reactive
525	47	118	0	19	15	insufficient data	cross-reactive
526	4	8	0	5-2	10-2	cross-reactive	cross-reactive
527	29	20	0	22	14	insufficient data	insufficient data
528	0	58	0	7	30	insufficient data	none
529	4	20	0	7-2	4	exact match	cross-reactive
530	14	2	0	18-1	30	exact match	cross-reactive
531	104	8	0	21	16-5	insufficient data	insufficient data
532	19	6	0	31	16	none	cross-reactive
533	13	17	0	22	9-10	insufficient data	cross-reactive
534	15	589	0	19-1	15-11	cross-reactive	cross-reactive
535	1	3	0	19-5	15	exact match	cross-reactive
536	13	17	0	18-1	3	insufficient data	cross-reactive
537	645	18	0	22	14	insufficient data	insufficient data
538	13	24	0	5-1	10-7	insufficient data	cross-reactive
539	25	6	0	5-1	2-28	none	cross-reactive
540	4	2	0	7-2	4-37	exact match	cross-reactive
541	25	13	0	19	15	insufficient data	cross-reactive
